# Skate 3 audio corpus: the functions that actually executed.
#
# Measured 2026-09-11. This file exists because the first Phase 0a measurement was
# lost: every trace artifact lands in probe/trace/out/, and .gitignore's 'out/' rule
# exists for retail-derived game data, not for measurements. A session's executed set
# cannot be regenerated without the game, a boot and the same pad timeline, so it is
# tracked here instead. The 1,693-function corpus is NOT tracked, deliberately: it is
# derivable from probe/trace/corpus.py, which is.
#
# trace header : skate3 guest trace: mode=first reason=controller recorded=16640 written=16640 capacity=262144
# label        : p11_trace
# arm / mode   : TRACE_ARM=boot, TRACE_MODE=first (one entry per function)
# dump         : skate3_trace_dump_delay_ms=120000, i.e. 120 s after gameplay
# pad macro    : a:700,a:700,a:700,a:700,x:900,a:700,a:700,back:1200
# binary       : skate3recomp-dev/out/build/linux-release-jammy/skate3
# audio hooks  : neither skate3_audio_shadow nor skate3_audio_native set, so all six
#                hooks fell through to __imp__ and this is original guest behaviour
#
# corpus executed : 758 of 1693 (44.8%)
# vector executed : 30 of 49
# audio thread    : 216 (200 scalar)
#
# NOT a maximum. The documented union of three earlier sessions is 789; this single
# session has no map switch, whose streaming paths account for the difference. It is
# also an upper bound on audio work in the other direction: the corpus is call-graph
# bounded from audio seeds and so contains main- and render-thread code.
#
# Re-intersect without the game:
#   python3 probe/trace/analyze_trace.py probe/trace/out/corpus.json <trace>
#
# address	vec	thread of first call
82380088	0	Main XThread (F/1199275
823807D0	0	Main XThread (F/1199275
823D0F70	0	Main XThread (F/1199275
824531C8	43	RwAudioCore Dac/1199309
82473930	45	load_thread (F8/1199277
82481B08	0	load_thread (F8/1199277
82481BE0	0	load_thread (F8/1199277
82671F50	0	load_thread (F8/1199277
826C4210	0	load_thread (F8/1199277
826D6320	0	Main XThread (F/1199275
82827D10	0	Main XThread (F/1199275
8289CFC0	0	Main XThread (F/1199275
828AAF88	0	Main XThread (F/1199275
828AB0E8	0	Main XThread (F/1199275
828E29C0	0	RwAudioCore Dac/1199309
828E2B48	0	load_thread (F8/1199277
828E2C78	0	render_thread (/1199299
828E2D18	0	render_thread (/1199299
828E2D78	0	RwAudioCore Dac/1199309
828E2E08	0	RwAudioCore Dac/1199309
828E2EA0	0	RwAudioCore Dac/1199309
828E2F38	0	RwAudioCore Dac/1199309
828E2FF8	0	render_thread (/1199299
828E30B8	0	RwAudioCore Dac/1199309
828E3148	0	load_thread (F8/1199277
828E3250	0	load_thread (F8/1199277
828E3358	0	load_thread (F8/1199277
82908E80	0	load_thread (F8/1199277
82908F40	0	MoviePlayer2 De/1199316
8290B980	0	MoviePlayer2 De/1199316
8290BB48	0	load_thread (F8/1199277
82A40D10	0	render_thread (/1199299
82A40EF8	0	Main XThread (F/1199275
82A77170	0	Main XThread (F/1199275
